Nitrogen,Phosphorous,Potassium,Temperature,Humidity,Ph,Moisture,Soil_Type,Crop_Type,fertilizer
22.87,41.01,19.07,26.6,63.1,6.06,28.7,Loam,Pigeonpea,19-19-19
34.19,30.77,28.79,14.1,53.6,6.18,18,Sandy Loam,Barley,Muriate of Potash
76.73,34.99,64.03,16.4,64.4,6.37,29.6,Silt Loam,Onion,15-15-15
36.07,27.73,29.02,25.5,62.2,5.76,30.7,Clay Loam,Sesame,Muriate of Potash
46.06,21.33,15.89,13,63.7,7.16,8.9,Sandy,Barley,20-20-0
144.72,44.86,194.24,31.3,76.4,5.81,43.5,Clay,Banana,15-15-15
216.97,46.55,224.9,33.9,80.9,5.99,43.6,Clay,Banana,15-15-15
76.6,28.96,55.12,27.2,71.7,7.95,12.2,Sandy,Mango,15-15-15
31.6,19.18,17.03,24.2,57.9,6.94,8.1,Sandy,Sunflower,20-20-0
40.56,21.13,19.14,34.3,83,7.87,14,Sandy,Jute,20-20-0
10.6,38.74,30.84,26.7,71.8,6.41,16.5,Loamy Sand,Soybean,Urea
153.96,60.47,56.65,20.8,65.1,6.04,32.1,Silt Loam,Maize,15-15-15
53.96,22.99,51.97,24.8,61.3,7.04,13.1,Loamy Sand,Chilli,Single Super Phosphate
20.48,32.87,25.31,31,73.9,6.88,31.2,Silt Loam,Pigeonpea,Urea
45.8,23.37,39.89,25,77.7,6.99,8.9,Sandy,Citrus,Single Super Phosphate
119.43,41.44,78.38,22,65.3,5.96,37.5,Clay,Brinjal,15-15-15
35.67,20.08,20.68,27.4,63.4,6.83,11.9,Sandy,Okra,20-20-0
44.34,30.68,61.07,22,80.7,6.72,15,Sandy,Potato,20-20-0
46.29,17.04,17.28,28.5,72.7,7.52,11.7,Sandy,Okra,20-20-0
74.38,48.54,76.36,22.4,64.6,6.05,36.3,Clay Loam,Chilli,15-15-15
22.47,41.48,26.43,23.2,53.7,5.56,35.9,Clay Loam,Chickpea,Urea
38.34,27.2,30.09,31.5,63.5,6.69,23.9,Loam,Okra,28-28-0
33.16,20.54,39.62,25.4,73.9,6.84,9.2,Sandy,Tobacco,28-28-0
48.48,20.56,31.15,34.7,71.2,7.82,9.3,Sandy,Cotton,Single Super Phosphate
17.92,38.66,19.42,29,77.8,6.85,24.4,Sandy Loam,Green Gram,19-19-19
72.69,34.6,30.47,21.4,69.5,5.93,33.1,Clay Loam,Barley,15-15-15
106.6,71.32,35.44,15.2,59.9,5.77,33.7,Clay Loam,Wheat,15-15-15
27.18,47.78,24.61,21.6,62.7,5.88,43.8,Clay,Lentil,19-19-19
19.84,62.18,19.21,23.5,62.9,6.67,33.6,Silt Loam,Chickpea,19-19-19
99.95,41.73,92.89,24.3,79.9,6.47,27.8,Silt Loam,Mango,15-15-15
18.38,50.87,14.38,25.5,61.4,6.98,15.8,Sandy Loam,Chickpea,19-19-19
122.18,34.44,198.23,25.6,75.9,6.84,34.3,Silt Loam,Banana,15-15-15
59.86,31.7,19.21,20.2,67.5,7.11,17.6,Loamy Sand,Mustard,Muriate of Potash
20.15,48.19,52.17,33.1,77.3,6.87,35.1,Clay Loam,Groundnut,Urea
84.89,39.24,60.54,30,73.4,6.34,23.8,Loam,Brinjal,15-15-15
132.39,53.81,38.07,24.8,66.8,6.79,38.8,Clay,Wheat,15-15-15
19.4,44.98,19.71,33.3,65.4,6.95,34.6,Clay Loam,Black Gram,19-19-19
