iter	RMSE
0	1952.880855
1	1878.548301
2	1808.763126
3	1742.867448
4	1684.510259
5	1621.608588
6	1569.302008
7	1519.865722
8	1474.023836
9	1420.05042
10	1370.377408
11	1322.117977
12	1277.044163
13	1233.224646
14	1200.781786
15	1163.618031
16	1124.987455
17	1094.192702
18	1068.84417
19	1038.555969
20	1012.416987
21	991.844073
22	961.7648805
23	934.3851658
24	914.4399442
25	895.19882
26	878.9960807
27	855.6610163
28	842.7491379
29	821.4418239
30	810.1450657
31	791.3883082
32	772.8886858
33	754.8309602
34	737.8702688
35	729.6654158
36	713.7171556
37	700.3406763
38	685.8770894
39	672.2040002
40	666.5462224
41	653.9982768
42	641.9423006
43	630.6171268
44	619.6151941
45	615.2525072
46	611.3847759
47	601.3049218
48	593.4413187
49	584.2480759
50	579.3247424
51	572.1368251
52	563.867446
53	555.9372477
54	549.6688641
55	542.4240092
56	539.3442374
57	531.9258487
58	525.6960553
59	520.1042465
60	517.386423
61	511.7029133
62	507.0029237
63	502.8140007
64	497.9870383
65	494.5830867
66	489.490594
67	485.1127886
68	483.9988014
69	481.2321689
70	477.9437351
71	474.6631118
72	472.9385732
73	470.1814187
74	466.7712563
75	464.5028853
76	462.6644101
77	460.2270705
78	457.194418
79	455.744854
80	454.8036687
81	452.7369293
82	450.7254275
83	448.8106021
84	446.201823
85	443.9530558
86	442.0827579
87	440.7166375
88	438.6422604
89	437.3490846
90	436.6510421
91	435.8670903
92	433.9179195
93	431.9512618
94	431.407244
95	429.8238772
96	428.1241209
97	426.6091929
98	426.1645394
99	424.6738312
100	423.18101
101	422.6621312
102	422.537018
103	421.3046046
104	420.0354185
105	419.3835871
106	418.6794611
107	417.4834996
108	416.7797771
109	416.6188688
110	415.8155995
111	414.9588017
112	414.4966371
113	414.1020837
114	413.227157
115	412.2505946
116	412.1074987
117	411.8742808
118	410.0999274
119	409.5161776
120	409.2449742
121	408.6002328
122	407.9901827
123	407.5817971
124	407.1233617
125	406.7703049
126	405.6708195
127	405.1128124
128	404.2690357
129	404.0591394
130	403.8231643
131	403.5730208
132	403.3389974
133	402.7430543
134	402.5312408
135	401.7934283
136	401.1321427
137	400.870673
138	400.5888687
139	399.9290141
140	399.5365723
141	399.3483455
142	399.1674729
143	398.9213863
144	398.4341686
145	398.3374962
146	397.5673356
147	397.3454532
148	396.2872985
149	396.1144138
150	395.5251985
151	394.2187537
152	392.953101
153	392.7354415
154	392.5089454
155	391.9031645
156	391.5717541
157	390.9618695
158	390.3226291
159	389.712796
160	388.5492004
161	388.2149615
162	387.0629665
163	386.8925262
164	386.7515076
165	386.4967147
166	386.3101005
167	386.0079303
168	385.8314196
169	385.5561654
170	384.4134716
171	384.2365878
172	384.0106024
173	383.7316371
174	383.1915647
175	383.0286642
176	381.9550996
177	381.7821838
178	381.6222632
179	381.2308191
180	380.8086069
181	380.4717331
182	380.2617334
183	380.1122988
184	379.9366112
185	379.9276422
186	379.802962
187	379.0152963
188	378.739692
189	378.6791028
190	378.50374
191	377.685286
192	377.5646725
193	377.5071526
194	377.2468377
195	376.7841975
196	376.1185075
197	376.0684026
198	375.7745313
199	375.5164223
200	375.235942
201	374.274079
202	374.1549631
203	374.0302115
204	373.9228031
205	372.9868373
206	372.4675273
207	372.3091805
208	372.1679715
209	371.9004859
210	371.7660433
211	371.5507129
212	371.3477234
213	371.1979788
214	371.0544315
215	370.8766209
216	370.2171345
217	370.0704259
218	369.186068
219	368.9875823
220	368.5707097
221	368.2384892
222	368.1101385
223	368.0081035
224	367.5940839
225	367.4932572
226	367.3480112
227	367.2995738
228	367.2261768
229	367.1736143
230	367.0829924
231	366.9808527
232	366.8799732
233	366.7250351
234	366.4852959
235	366.4258264
236	366.3477293
237	366.2251727
238	366.1220014
239	366.0908685
240	365.9465554
241	365.8848551
242	365.7506491
243	365.6060254
244	365.462204
245	365.1632011
246	365.0327629
247	364.9414434
248	364.8408476
249	364.8153505
250	364.677463
251	364.5521158
252	364.4379642
253	364.3284552
254	364.2826838
255	364.2344812
256	364.1502997
257	363.5891196
258	363.4877823
259	363.4193082
260	363.3205133
261	363.2289752
262	363.164133
263	363.0497722
264	362.9721052
265	362.7798505
266	362.6894274
267	362.5661492
268	362.5023127
269	362.3524531
270	362.2632424
271	362.0609324
272	361.9063057
273	361.8064703
274	361.7776551
275	361.727511
276	361.4756264
277	361.3813662
278	361.245448
279	361.1180666
280	361.0721551
281	361.0461536
282	361.0040888
283	360.7413495
284	360.7005466
285	360.4019012
286	360.3791286
287	360.2593671
288	360.0747049
289	360.0122271
290	359.4105839
291	359.3472455
292	359.2549472
293	359.1808027
294	359.1156166
295	358.9562887
296	358.7519975
297	358.2424729
298	357.96485
299	357.9229319
300	357.8366954
301	357.7706311
302	357.6504704
303	357.5863695
304	357.5177418
305	357.4528555
306	357.3334733
307	357.0670963
308	357.0144956
309	356.937981
310	356.9059429
311	356.6983383
312	356.6302101
313	356.4305549
314	356.1926204
315	356.0899855
316	356.0129634
317	355.9367982
318	355.765722
319	355.7272667
320	355.6605283
321	355.5128492
322	355.4797566
323	354.9386166
324	354.8933573
325	354.8430091
326	354.7481307
327	354.720788
328	354.4955001
329	354.4719879
330	354.2583157
331	354.2099757
332	354.1652021
333	354.1050244
334	354.0688542
335	354.0017074
336	353.9563224
337	353.8965875
338	353.8591788
339	353.8170839
340	353.6877343
341	353.4896123
342	353.4215471
343	353.392851
344	353.3558619
345	353.3091668
346	353.2943849
347	353.1958722
348	353.1253233
349	353.0480621
350	352.9757345
351	352.790017
352	352.7748506
353	352.7429552
354	352.676387
355	352.6437769
356	352.5293053
357	352.5203964
358	352.4508003
359	352.3377583
360	352.0204802
361	351.9644781
362	351.8787805
363	351.8623691
364	351.777595
365	351.7100892
366	351.6560308
367	351.4943558
368	351.4774802
369	351.1796778
370	351.0537926
371	350.9568502
372	350.9032321
373	350.783202
374	350.7705051
375	350.7142233
376	350.6284565
377	350.6159956
378	350.5658213
379	350.4361327
380	350.3818504
381	350.3341054
382	350.2616003
383	349.9902615
384	349.8693564
385	349.801216
386	349.1294406
387	349.0528839
388	348.7992348
389	348.7648273
390	348.7388431
391	348.6905923
392	347.6719962
393	347.6310656
394	347.6196625
395	347.5703904
396	347.5627819
397	347.5115247
398	346.8753988
399	346.8641107
400	346.7894203
401	346.7465193
402	346.6452519
403	345.6585266
404	345.608422
405	345.5987648
406	345.5505446
407	345.505991
408	345.4683133
409	345.2405299
410	345.1952759
411	345.0989274
412	345.0548597
413	344.3415696
414	344.3342765
415	344.1990283
416	344.1388684
417	344.0972068
418	344.0529812
419	344.0325433
420	343.9971782
421	343.870999
422	343.796671
423	343.7564193
424	343.7362444
425	343.0523269
426	343.0392777
427	342.8274861
428	342.167754
429	342.1394436
430	342.0618794
431	342.0252552
432	342.0117046
433	341.9698933
434	341.9248376
435	341.9068152
436	341.8265587
437	341.7791907
438	341.7506419
439	341.7092972
440	341.6617036
441	341.6359727
442	341.0363475
443	341.0060177
444	340.975166
445	340.5125848
446	340.4808354
447	340.3630436
448	339.9233337
449	339.8363742
450	339.7861029
451	339.7764899
452	339.3602569
453	339.2856401
454	338.6772552
455	338.6301656
456	338.6002532
457	338.5810299
458	338.4978348
459	338.4571034
460	338.4075164
461	338.3844854
462	338.3262638
463	338.2167643
464	338.2082277
465	338.1701605
466	338.154872
467	338.1099557
468	338.0453086
469	337.7239112
470	337.6983004
471	337.6262829
472	337.6089784
473	337.5571745
474	337.5450005
475	337.2428258
476	337.1503554
477	337.0980162
478	337.0418262
479	337.0169122
480	336.9676959
481	336.9297015
482	336.9073313
483	336.8605523
484	336.837296
485	336.82233
486	336.6427481
487	336.613842
488	336.5730892
489	336.5331316
490	336.4797958
491	336.4304781
492	336.4024797
493	336.3591019
494	336.317627
495	336.2953193
496	335.653678
497	335.6182184
498	335.4738841
499	335.4265957
500	335.3991361
501	334.7497938
502	334.7280757
503	334.7122241
504	334.6771759
505	334.6525435
506	334.6139332
507	334.5541135
508	334.5305836
509	333.8984388
510	333.8813056
511	333.8525687
512	333.2382629
513	333.2282482
514	332.6312811
515	332.5729586
516	332.5314286
517	331.9481377
518	331.6076703
519	331.0505283
520	331.0296894
521	330.9850106
522	330.4423409
523	329.9145238
524	329.8685826
525	329.3543945
526	328.8546535
527	328.8221843
528	328.7862844
529	328.7689519
530	328.7284674
531	328.6642019
532	328.6295828
533	328.5674516
534	328.5432879
535	328.5172504
536	328.4503656
537	328.3828809
538	327.8906028
539	327.412142
540	327.3840273
541	327.3351024
542	327.2890736
543	326.8224338
544	326.3688765
545	326.2994204
546	325.8573442
547	325.8129678
548	325.7766069
549	325.7694965
550	325.7220391
551	325.6929053
552	325.2610481
553	324.6557318
554	324.6465159
555	324.2368897
556	323.8386992
557	323.785506
558	323.7787023
559	323.7254531
560	323.6802244
561	323.6731624
562	323.2834797
563	323.2768993
564	323.2464212
565	323.2094548
566	323.1932169
567	322.7860234
568	322.705058
569	322.3129025
570	321.7671828
571	321.7348931
572	321.7151907
573	321.4358853
574	321.4208507
575	321.2835448
576	321.2592471
577	320.7313493
578	320.7083623
579	320.7018292
580	320.6269551
581	320.1119189
582	320.0787289
583	319.5771433
584	319.0864667
585	319.068139
586	319.0532787
587	318.5753993
588	318.1090029
589	318.0658994
590	317.9739249
591	317.9498227
592	317.493473
593	317.2342292
594	317.2113126
595	317.1681996
596	317.089444
597	317.0694352
598	317.0553753
599	316.6167675
600	316.5813178
601	316.565119
602	316.4955297
603	316.4135788
604	315.9628835
605	315.9541926
606	315.9166009
607	315.4980069
608	315.1857677
609	314.7836549
610	314.7736939
611	314.7377473
612	314.6888168
613	314.2708223
614	314.2439786
615	314.1840883
616	314.0893097
617	314.0723274
618	314.0398153
619	314.0181805
620	314.0094476
621	313.9878325
622	313.5817535
623	313.5500931
624	313.5321834
625	313.5137669
626	313.2322857
627	312.841862
628	312.8237772
629	312.803393
630	312.4222453
631	312.0502053
632	311.8504571
633	311.8434358
634	311.8161572
635	311.7920304
636	311.5247492
637	311.1723613
638	310.8231912
639	310.7890563
640	310.7633937
641	310.738287
642	310.7273848
643	310.3864521
644	310.1812416
645	309.9828385
646	309.9403539
647	309.9336533
648	309.8184611
649	309.7188658
650	309.6764761
651	309.6639495
652	309.625651
653	309.6054245
654	309.5909876
655	309.5738989
656	309.5444969
657	309.4922041
658	309.4840173
659	309.4680878
660	309.4502568
661	309.4411748
662	309.4088787
663	309.3647199
664	309.3311622
665	309.3111892
666	309.3020007
667	309.2814061
668	309.1234356
669	309.0687683
670	309.0545891
671	309.0226319
672	308.9726496
673	308.951581
674	308.9210331
675	308.905777
676	308.8978223
677	308.8749269
678	308.857702
679	308.8361732
680	308.6718937
681	308.5123389
682	308.492483
683	308.4744922
684	308.385982
685	308.3648589
686	308.3464564
687	308.1930285
688	308.04427
689	307.9747509
690	307.9656125
691	307.793758
692	307.7381275
693	307.7189557
694	307.6697463
695	307.6612871
696	307.6506334
697	307.6001276
698	307.5727811
699	307.4934586
700	307.4663244
701	307.4257036
702	307.3900614
703	307.306746
704	307.294454
705	307.2733253
706	307.2443498
707	307.2296726
708	307.2049285
709	307.1188267
710	307.0983439
711	307.0840138
712	307.0527859
713	307.0274033
714	307.0117709
715	306.9789815
716	306.9554978
717	306.9404332
718	306.9193265
719	306.9094513
720	306.8838784
721	306.8642238
722	306.8485549
723	306.8457442
724	306.8243907
725	306.8085679
726	306.7895298
727	306.7666775
728	306.7452786
729	306.7082209
730	306.694764
731	306.5853893
732	306.5723798
733	306.5677268
734	306.4781791
735	306.4596455
736	306.4423523
737	306.3370719
738	306.3326396
739	306.2965409
740	306.2762719
741	306.2384749
742	306.2325571
743	306.1661994
744	306.0669705
745	306.0223857
746	305.9269287
747	305.8818093
748	305.8384365
749	305.7464703
750	305.7303451
751	305.7026256
752	305.690054
753	305.683028
754	305.6729489
755	305.6402083
756	305.610054
757	305.5977536
758	305.5872196
759	305.2884069
760	305.2325431
761	305.2034515
762	305.1501326
763	305.109553
764	305.0705127
765	305.0329407
766	304.8815021
767	304.7360879
768	304.6861201
769	304.6776298
770	304.6631383
771	304.6531492
772	304.4822409
773	304.4482344
774	304.3122662
775	304.3008708
776	304.2900807
777	304.2234001
778	304.193018
779	304.1917486
780	304.1867425
781	304.1730207
782	304.15973
783	304.1299455
784	304.1058414
785	304.0921608
786	304.0856034
787	304.065265
788	304.0503326
789	304.0491185
790	304.035575
791	303.7591844
792	303.7202995
793	303.7081373
794	303.6975124
795	303.6790854
796	303.5474895
797	303.54633
798	303.5274595
799	303.5167522
