iter	Passed	Remaining
0	438	350183
1	742	296182
2	1039	276212
3	1306	260067
4	1626	258655
5	1908	252554
6	2194	248638
7	2492	246804
8	2795	245657
9	3081	243445
10	3331	238961
11	3601	236518
12	3806	230409
13	4080	229108
14	4351	227703
15	4589	224899
16	4863	224020
17	5172	224711
18	5472	224932
19	5769	225013
20	6037	223946
21	6398	226263
22	6690	226029
23	6979	225667
24	7245	224622
25	7538	224418
26	7875	225466
27	8203	226191
28	8496	225890
29	8707	223488
30	9000	223271
31	9255	222136
32	9516	221177
33	9787	220505
34	10085	220439
35	10378	220260
36	10644	219513
37	10878	218133
38	11113	216850
39	11403	216668
40	11660	215866
41	11950	215672
42	12189	214583
43	12479	214424
44	12717	213368
45	12960	212438
46	13197	211437
47	13399	209922
48	13689	209812
49	13940	209107
50	14224	208906
51	14523	208914
52	14726	207557
53	14966	206765
54	15202	205931
55	15497	205895
56	15750	205307
57	15991	204575
58	16212	203624
59	16482	203283
60	16778	203266
61	17003	202397
62	17228	201541
63	17515	201431
64	17779	201041
65	18053	200779
66	18328	200516
67	18547	199659
68	18796	199136
69	19066	198838
70	19325	198423
71	19602	198205
72	19872	197908
73	20128	197473
74	20361	196832
75	20605	196294
76	20874	195999
77	21135	195640
78	21396	195279
79	21672	195049
80	21923	194601
81	22201	194400
82	22465	194070
83	22700	193498
84	22954	193089
85	23202	192638
86	23444	192135
87	23709	191833
88	23978	191561
89	24175	190715
90	24438	190406
91	24682	189947
92	24922	189465
93	25178	189105
94	25480	189092
95	25755	188871
96	26008	188494
97	26253	188059
98	26472	187449
99	26728	187101
100	26988	186784
101	27241	186419
102	27498	186079
103	27802	186063
104	28054	185695
105	28335	185517
106	28579	185098
107	28818	184653
108	29055	184193
109	29307	183840
110	29519	183230
111	29793	183014
112	30087	182919
113	30332	182524
114	30584	182174
115	30860	181972
116	31112	181620
117	31431	181664
118	31745	181668
119	32045	181590
120	32312	181326
121	32547	180880
122	32813	180607
123	33102	180460
124	33410	180419
125	33650	180002
126	33894	179613
127	34200	179553
128	34480	179352
129	34833	179528
130	35150	179511
131	35405	179174
132	35636	178718
133	35928	178571
134	36211	178377
135	36458	178002
136	36721	177712
137	37020	177591
138	37258	177176
139	37533	176945
140	37779	176571
141	38035	176249
142	38292	175929
143	38544	175589
144	38811	175322
145	39072	175022
146	39300	174581
147	39615	174522
148	39834	174042
149	40093	173738
150	40241	172957
151	40501	172665
152	40722	172206
153	41023	172087
154	41299	171861
155	41596	171720
156	41907	171632
157	42187	171418
158	42431	171060
159	42710	170843
160	43006	170690
161	43255	170350
162	43512	170045
163	43820	169938
164	44089	169679
165	44327	169297
166	44616	169116
167	44878	168829
168	45140	168540
169	45351	168068
170	45579	167656
171	45810	167261
172	46116	167139
173	46380	166864
174	46641	166576
175	46897	166273
176	47178	166057
177	47506	166005
178	47797	165822
179	48044	165485
180	48339	165314
181	48612	165069
182	48913	164914
183	49195	164698
184	49465	164439
185	49670	163965
186	49917	163631
187	50171	163323
188	50417	162990
189	50700	162776
190	51031	162713
191	51324	162528
192	51564	162173
193	51788	161772
194	52118	161700
195	52355	161338
196	52578	160938
197	52899	160834
198	53190	160641
199	53442	160326
200	53630	159823
201	53931	159659
202	54277	159624
203	54629	159603
204	54947	159482
205	55247	159304
206	55524	159063
207	55744	158658
208	56042	158475
209	56380	158403
210	56706	158294
211	57062	158268
212	57360	158077
213	57660	157893
214	58029	157892
215	58261	157523
216	58581	157388
217	58849	157113
218	59091	156769
219	59358	156490
220	59618	156194
221	59880	155904
222	60155	155650
223	60425	155381
224	60687	155090
225	60945	154789
226	61203	154490
227	61381	153992
228	61626	153662
229	61834	153243
230	62051	152845
231	62269	152451
232	62479	152042
233	62680	151612
234	62949	151346
235	63201	151040
236	63432	150685
237	63723	150474
238	63947	150102
239	64207	149818
240	64422	149428
241	64643	149052
242	64898	148759
243	65129	148410
244	65375	148095
245	65637	147818
246	65896	147534
247	66127	147186
248	66395	146924
249	66653	146638
250	66932	146397
251	67238	146216
252	67517	145977
